treatment rain
control 1.0
control 4.9
control 4.9
control 11.5
control 17.3
control 21.7
control 24.4
control 26.1
control 26.3
control 28.6
control 29.0
control 36.6
control 41.1
control 47.3
control 68.5
control 81.2
control 87.0
control 95.0
control 147.8
control 163.0
control 244.3
control 321.2
control 345.5
control 372.4
control 830.1
control 1202.6
silverIodide 4.1
silverIodide 7.7
silverIodide 17.5
silverIodide 31.4
silverIodide 32.7
silverIodide 40.6
silverIodide 92.4
silverIodide 115.3
silverIodide 118.3
silverIodide 119.0
silverIodide 129.6
silverIodide 198.6
silverIodide 200.7
silverIodide 242.5
silverIodide 255.0
silverIodide 274.7
silverIodide 274.7
silverIodide 302.8
silverIodide 334.1
silverIodide 430.0
silverIodide 489.1
silverIodide 703.4
silverIodide 978.0
silverIodide 1656.0
silverIodide 1697.8
silverIodide 2745.6
